"Heizung Lüftung Klima","0/-/-","","","","","Auto"
"EG Office Komfort Modus Rückmeldung","0/1/96","","","","DPST-1-2","Auto"
"EG Office Standby Modus Rückmeldung","0/1/97","","","","DPST-1-2","Auto"
"EG Office Nacht Modus Rückmeldung","0/1/98","","","","DPST-1-2","Auto"
"--- EG Salon ---","0/1/100","","","","","Auto"
"EG Salon Sollwerte (Basis-Sollwert)","0/1/101","","","","DPST-9-1","Auto"
"EG Salon Sollwert Einstellung (Soll-Temperatur)","0/1/102","","","","DPST-1-8","Auto"
"EG Salon Ventilstellgrösse RM","0/1/103","","","","DPST-5-1","Auto"
"EG Salon Heizen Stellgrösse","0/1/104","","","","DPST-5-1","Auto"
"EG Salon HVAC Modus","0/1/105","","","","DPST-20-102","Auto"
"EG Salon Frost/Heizen Sicherheits Modus","0/1/106","","","","DPST-1-2","Auto"
"EG Salon Komfort Modus","0/1/107","","","","DPST-1-2","Auto"
"EG Salon Standby Modus","0/1/108","","","","DPST-1-2","Auto"
"EG Salon Nacht Modus","0/1/109","","","","DPST-1-2","Auto"
"EG Salon Ausschalt Steuerung","0/1/110","","","","DPST-1-1","Auto"
"EG Salon RHCC Status Rückmeldung","0/1/111","","","","DPST-22-101","Auto"
"EG Salon Vorhang Sollwert Rückmeldung","0/1/112","","","","DPST-9-1","Auto"
"EG Salon Sollwert Einstellung Rückmeldung","0/1/113","","","","DPST-9-1","Auto"
"EG Salon HVAC Status Rückmeldung","0/1/114","","","","","Auto"
"EG Salon Frost/Heizen Sicherheits Rückmeldung","0/1/115","","","","DPST-1-2","Auto"
"EG Salon Komfort Modus Rückmeldung","0/1/116","","","","DPST-1-2","Auto"
"EG Salon Standby Modus Rückmeldung","0/1/117","","","","DPST-1-2","Auto"
"EG Salon Nacht Modus Rückmeldung","0/1/118","","","","DPST-1-2","Auto"
"Obergeschoß","0/2/-","","","","","Auto"
"--- OG Diele ---","0/2/0","","","","","Auto"
"OG Diele Sollwerte (Basis-Sollwert)","0/2/1","","","","DPST-9-1","Auto"
"OG Diele Sollwert Einstellung (Soll-Temperatur)","0/2/2","","","","DPST-1-8","Auto"
"OG Diele Ventilstellgrösse RM","0/2/3","","","","DPST-5-1","Auto"
"OG Diele Heizen Stellgrösse","0/2/4","","","","DPST-5-1","Auto"
"OG Diele HVAC Modus (Heizen Stellgrösse)","0/2/5","","","","DPST-20-102","Auto"
"OG Diele Frost/Heizen Sicherheits Modus","0/2/6","","","","DPST-1-2","Auto"
"OG Diele Komfort Modus","0/2/7","","","","DPST-1-2","Auto"
"OG Diele Standby Modus","0/2/8","","","","DPST-1-2","Auto"
"OG Diele Nacht Modus","0/2/9","","","","DPST-1-2","Auto"
"OG Diele Ausschalt Steuerung","0/2/10","","","","DPST-1-1","Auto"
"OG Diele RHCC Status Rückmeldung","0/2/11","","","","DPST-22-101","Auto"
"OG Diele Vorhang Sollwert Rückmeldung","0/2/12","","","","DPST-9-1","Auto"
"OG Diele Sollwert Einstellung Rückmeldung","0/2/13","","","","DPST-9-1","Auto"
"OG Diele HVAC Status Rückmeldung","0/2/14","","","","DPST-5-1","Auto"
"OG Diele Frost/Heizen Sicherheits Rückmeldung","0/2/15","","","","DPST-1-2","Auto"
"OG Diele Komfort Modus Rückmeldung","0/2/16","","","","DPST-1-2","Auto"
"OG Diele Standby Modus Rückmeldung","0/2/17","","","","DPST-1-2","Auto"
"OG Diele Nacht Modus Rückmeldung","0/2/18","","","","DPST-1-2","Auto"
"--- OG Gäste ---","0/2/20","","","","","Auto"
"OG Gäste Sollwerte (Basis-Sollwert)","0/2/21","","","","DPST-9-1","Auto"
"OG Gäste Sollwert Einstellung (Soll-Temperatur)","0/2/22","","","","DPST-1-8","Auto"
"OG Gäste Ventilstellgrösse RM","0/2/23","","","","DPST-5-1","Auto"
"OG Gäste Heizen Stellgrösse","0/2/24","","","","DPST-5-1","Auto"
"OG Gäste HVAC Modus (Heizen Stellgrösse)","0/2/25","","","","DPST-20-102","Auto"
"OG Gäste Frost/Heizen Sicherheits Modus","0/2/26","","","","DPST-1-2","Auto"
"OG Gäste Komfort Modus","0/2/27","","","","DPST-1-2","Auto"
"OG Gäste Standby Modus","0/2/28","","","","DPST-1-2","Auto"
"OG Gäste Nacht Modus","0/2/29","","","","DPST-1-2","Auto"
"OG Gäste Ausschalt Steuerung","0/2/30","","","","DPST-1-1","Auto"
"OG Gäste RHCC Status Rückmeldung","0/2/31","","","","DPST-22-101","Auto"
"OG Gäste Vorhang Sollwert Rückmeldung","0/2/32","","","","DPST-9-1","Auto"
"OG Gäste Sollwert Einstellung Rückmeldung","0/2/33","","","","DPST-9-1","Auto"
"OG Gäste HVAC Status Rückmeldung","0/2/34","","","","DPST-5-1","Auto"
"OG Gäste Frost/Heizen Sicherheits Rückmeldung","0/2/35","","","","DPST-1-2","Auto"
"OG Gäste Komfort Modus Rückmeldung","0/2/36","","","","DPST-1-2","Auto"
"OG Gäste Standby Modus Rückmeldung","0/2/37","","","","DPST-1-2","Auto"
"OG Gäste Nacht Modus Rückmeldung","0/2/38","","","","DPST-1-2","Auto"
"--- OG Schlafen ---","0/2/40","","","","","Auto"
"OG Schlafen Sollwerte (Basis-Sollwert)","0/2/41","","","","DPST-9-1","Auto"
"OG Schlafen Sollwert Einstellung (Soll-Temperatur)","0/2/42","","","","DPST-1-8","Auto"
"OG Schlafen Ventilstellgrösse RM","0/2/43","","","","DPST-5-1","Auto"
"OG Schlafen Heizen Stellgrösse","0/2/44","","","","DPST-5-1","Auto"
"OG Schlafen HVAC Modus (Heizen Stellgrösse)","0/2/45","","","","DPST-20-102","Auto"
"OG Schlafen Frost/Heizen Sicherheits Modus","0/2/46","","","","DPST-1-2","Auto"
"OG Schlafen Komfort Modus","0/2/47","","","","DPST-1-2","Auto"
"OG Schlafen Standby Modus","0/2/48","","","","DPST-1-2","Auto"
"OG Schlafen Nacht Modus","0/2/49","","","","DPST-1-2","Auto"
"OG Schlafen Ausschalt Steuerung","0/2/50","","","","DPST-1-1","Auto"
"OG Schlafen RHCC Status Rückmeldung","0/2/51","","","","DPST-22-101","Auto"
"OG Schlafen Vorhang Sollwert Rückmeldung","0/2/52","","","","DPST-9-1","Auto"
"OG Schlafen Sollwert Einstellung Rückmeldung","0/2/53","","","","DPST-9-1","Auto"
"OG Schlafen HVAC Status Rückmeldung","0/2/54","","","","DPST-5-1","Auto"
"OG Schlafen Frost/Heizen Sicherheits Rückmeldung","0/2/55","","","","DPST-1-2","Auto"
"OG Schlafen Komfort Modus Rückmeldung","0/2/56","","","","DPST-1-2","Auto"
"OG Schlafen Standby Modus Rückmeldung","0/2/57","","","","DPST-1-2","Auto"
"OG Schlafen Nacht Modus Rückmeldung","0/2/58","","","","DPST-1-2","Auto"
"--- OG Kind ---","0/2/60","","","","","Auto"
"OG Kind Sollwerte (Basis-Sollwert)","0/2/61","","","","DPST-9-1","Auto"
"OG Kind Sollwert Einstellung (Soll-Temperatur)","0/2/62","","","","DPST-1-8","Auto"
"OG Kind Ventilstellgrösse RM","0/2/63","","","","DPST-5-1","Auto"
"OG Kind Heizen Stellgrösse","0/2/64","","","","DPST-5-1","Auto"
"OG Kind HVAC Modus (Heizen Stellgrösse)","0/2/65","","","","DPST-20-102","Auto"
"OG Kind Frost/Heizen Sicherheits Modus","0/2/66","","","","DPST-1-2","Auto"
"OG Kind Komfort Modus","0/2/67","","","","DPST-1-2","Auto"
"OG Kind Standby Modus","0/2/68","","","","DPST-1-2","Auto"
"OG Kind Nacht Modus","0/2/69","","","","DPST-1-2","Auto"
"OG Kind Ausschalt Steuerung","0/2/70","","","","DPST-1-1","Auto"
"OG Kind RHCC Status Rückmeldung","0/2/71","","","","DPST-22-101","Auto"
"OG Kind Vorhang Sollwert Rückmeldung","0/2/72","","","","DPST-9-1","Auto"
"OG Kind Sollwert Einstellung Rückmeldung","0/2/73","","","","DPST-9-1","Auto"
"OG Kind HVAC Status Rückmeldung","0/2/74","","","","DPST-5-1","Auto"
"OG Kind Frost/Heizen Sicherheits Rückmeldung","0/2/75","","","","DPST-1-2","Auto"
"OG Kind Komfort Modus Rückmeldung","0/2/76","","","","DPST-1-2","Auto"
"OG Kind Standby Modus Rückmeldung","0/2/77","","","","DPST-1-2","Auto"
"OG Kind Nacht Modus Rückmeldung","0/2/78","","","","DPST-1-2","Auto"
"--- OG Masterbad ---","0/2/90","","","","","Auto"
"OG Masterbad Sollwerte (Basis-Sollwert)","0/2/91","","","","DPST-9-1","Auto"
"OG Masterbad Sollwert Einstellung (Soll-Temperatur)","0/2/92","","","","DPST-1-8","Auto"
"OG Masterbad Ventilstellgrösse RM","0/2/93","","","","DPST-5-1","Auto"
